date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8,yt_pred_stacked_mlp
1946-01-01,1095.0249999999996,1444.1986161805137,1197.389238901431,890,,
1946-02-01,1077.3934210526313,1417.7272045877337,1182.255800136192,992,,
1946-03-01,1214.077631578947,1545.5715803337594,1321.147433439697,979,,
1946-04-01,1322.1302631578942,1644.784376276882,1431.1167703908943,959,,
1946-05-01,1385.0249999999996,1698.8392767431956,1495.6374952003105,1110,,
1946-06-01,1539.498684210526,1844.4731228817675,1651.4464499732092,1546,,
1946-07-01,1929.709210526316,2225.8438084213494,2042.701529446432,1539,,
1946-08-01,3034.498684210526,3321.793435276575,3148.2448388831363,3401,,
1946-09-01,2284.7092105263155,2563.1641266766246,2398.9184835464807,2092,,
1946-10-01,1815.656578947368,2085.271657163001,1930.038252910149,1436,,
1946-11-01,1636.1302631578944,1896.9055003584504,1750.393620658352,1301,,
1946-12-01,1397.603947368421,1649.5393429107305,1511.458271001616,1287,,
1947-01-01,1220.8175438596486,1464.4041988595025,1362.5325221780934,1488,,
1947-02-01,1203.1859649122805,1438.9149915567757,1344.9249807775232,1517,1260.8287581197692,1205.9091766608774
1947-03-01,1339.870175438596,1567.7415715928537,1481.374813379579,1707,1360.0203665067074,1282.332378189538
1947-04-01,1447.9228070175434,1667.9365718260287,1588.9346515632096,1729,1434.9276830258295,1273.4332926946765
1947-05-01,1510.8175438596486,1722.973676582395,1651.078179538941,1788,1488.115979613748,1335.6017470015543
1947-06-01,1665.291228070175,1869.58972701102,1804.542239412037,2008,1665.9033804755438,1497.3697155066307
1947-07-01,2055.5017543859644,2251.9426168406544,2193.48472591934,2203,1959.1560238786856,1863.957944914859
1947-08-01,3160.291228070175,3348.8744479859324,3296.747744324005,3713,2746.7774581373724,2894.159199623362
1947-09-01,2410.5017543859644,2591.2273436760347,2545.173399889193,2946,2630.703128844552,2863.775341039616
1947-10-01,1941.4491228070167,2114.317078452464,2074.077482088588,2082,2093.5975277327284,2029.6152359782664
1947-11-01,1761.9228070175436,1926.933125937965,1892.2494646063983,2033,1741.7666614193506,1480.9424720209265
1947-12-01,1523.39649122807,1680.5491727802982,1651.1630316531523,1937,1677.8859347553464,1537.4542162262421
1948-01-01,1346.6100877192978,1496.3962330191227,1500.1185014670016,1711,1753.5357886832232,1652.0117303249672
1948-02-01,1328.9785087719297,1471.8892300064483,1480.4244806376855,1775,1739.437567935572,1669.05535660378
1948-03-01,1465.662719298245,1601.698014332579,1614.820135744878,1902,1888.1827194795085,1883.1534693139088
1948-04-01,1573.7153508771926,1702.875218855807,1720.358098367527,1846,1983.3162362584412,1939.4147306052553
1948-05-01,1636.6100877192978,1758.8945279022255,1780.512052716159,2083,1983.905765129816,1892.8240743112895
1948-06-01,1791.0837719298245,1906.492782620903,1932.018840896037,2262,2158.206630463098,2084.8934484011065
1948-07-01,2181.2942982456134,2289.82787674059,2319.0363576440045,2193,2554.716004430552,2533.9061811109787
1948-08-01,3286.0837719298243,3387.741912175921,3420.4067082232177,3792,3127.638201003201,3224.9487829434306
1948-09-01,2536.2942982456134,2631.077012156076,2666.971997896834,2343,3252.587074899189,3492.9799395664722
1948-10-01,2067.2416666666663,2155.1489512225576,2194.04801613854,2313,2329.598192114196,2224.277276172518
1948-11-01,1887.7153508771928,1968.747202998112,2010.424236632544,2179,2212.224623916176,2132.6864065828886
1948-12-01,1649.1890350877188,1723.345454130497,1767.574343589373,1975,2040.168792126107,2016.6512439869596
1949-01-01,1472.402631578947,1540.1747186593743,1614.79865524718,1880,1933.9856433428845,1838.4356306677516
1949-02-01,1454.7710526315786,1516.6499199367524,1593.4057781957035,1930,1924.142354971164,1896.26840763113
1949-03-01,1591.4552631578945,1647.440908552936,1726.1348790146176,2060,2053.185689511821,2049.004682792035
1949-04-01,1699.5078947368415,1749.600317366216,1830.0385892828704,1843,2121.5484272168123,2077.0926070099395
1949-05-01,1762.402631578947,1806.6018307026875,1888.590593210988,2052,2138.687668806006,2074.2585815882453
1949-06-01,1916.8763157894728,1955.1822897114173,2038.5277329042349,2039,2266.9621484368004,2213.790710950878
1949-07-01,2307.086842105263,2339.499588121157,2424.007903099452,2351,2466.513757481349,2433.34039241493
1949-08-01,3411.876315789473,3438.3958278465407,3523.873209059797,3394,3112.618594561917,3251.9181201241045
1949-09-01,2662.086842105263,2682.713132116748,2768.9657560484284,3581,2846.6459543004894,3016.640934569318
1949-10-01,2193.034210526316,2207.7672754732826,2294.6013335390303,2489,2984.594223440351,3097.2310394574856
1949-11-01,2013.5078947368413,2022.347731538889,2109.569415215813,2468,2447.2105980837373,2336.3675240013495
1949-12-01,1774.981578947368,1777.9281869613271,1865.3436852893028,2134,2239.320614258432,2176.2384981414443
1950-01-01,1598.195175438596,1595.739655780257,1711.2244619976525,1903,2070.4824509311165,1995.81582484867
1950-02-01,1580.5635964912276,1573.1970613476876,1688.5203519306006,1719,2033.9567299616108,1989.7650353954866
1950-03-01,1717.2478070175434,1704.970254253924,1819.9705216678217,1617,2029.4061071961075,2031.4423562616862
1950-04-01,1825.3004385964907,1808.1118673572569,1922.627602788264,1818,1992.4547221399057,1940.6552377093003
1950-05-01,1888.195175438596,1866.0955849837808,1979.9652795024529,2067,2110.011671374649,2077.5738377445814
1950-06-01,2042.6688596491224,2015.6582482825631,2128.7203939156525,2457,2224.1421048950897,2178.556972238541
1950-07-01,2432.879385964912,2400.957750982356,2513.050840764705,2600,2698.725168540335,2700.5676431352476
1950-08-01,3537.668859649122,3500.836194997792,3611.798725312768,3530,3306.456967995082,3381.33869825883
1950-09-01,2787.879385964912,2746.135703558052,2855.806152822999,2693,3577.912782447562,3732.5990475397725
1950-10-01,2318.8267543859647,2272.1720512046386,2380.3889127690827,2448,2725.543317076077,2701.1937008081413
1950-11-01,2139.300438596491,2087.7347115602984,2194.336478835229,2250,2495.276899870172,2469.3638873067334
1950-12-01,1900.7741228070167,1844.2973712727885,1949.122535231965,1972,2192.076661085717,2177.622693083818
1951-01-01,1723.987719298245,1663.0910443817706,1794.0474001974426,1682,2002.6536193907416,1950.7759584536268
1951-02-01,1706.3561403508768,1641.530654239254,1770.4196803214013,1730,1840.2046706665635,1781.4902031863971
1951-03-01,1843.0403508771924,1774.286051435543,1900.978542183515,1814,1878.8975871882812,1831.8217273083776
1951-04-01,1951.09298245614,1878.4098688289284,2002.776617362732,1900,2021.3924378814409,1963.862264144633
1951-05-01,2013.987719298245,1937.375790745505,2059.2875900695767,2051,2188.512920383572,2144.1525720750883
1951-06-01,2168.461403508772,2087.92065833434,2207.248302409316,2290,2435.181010205791,2411.9987252096803
1951-07-01,2558.6719298245607,2474.202365324185,2590.8166491187885,2599,2744.434115647025,2769.0959779411087
1951-08-01,3663.461403508772,3575.0630136296736,3688.834735461154,3428,3174.0527430359894,3294.6471602967913
1951-09-01,2913.671929824561,2821.344726479986,2932.1446666995707,2262,3072.884291689686,3229.347003890203
1951-10-01,2444.6192982456137,2348.3632784166257,2456.0622323077214,2242,2483.5509210914006,2411.6696728695115
1951-11-01,2265.09298245614,2164.9081430623382,2269.376905969817,2103,2264.6624653623826,2225.986411534261
1951-12-01,2026.5666666666664,1922.453007064881,2023.5623718963843,1825,2022.963487717205,1997.8971869980026
1952-01-01,1849.7802631578943,1742.2288844639158,1867.9189483255752,1670,1861.1704305361425,1764.9384968070979
1952-02-01,1832.148684210526,1721.6506986114518,1843.7552418471296,1681,1841.209893817581,1792.8236390046302
1952-03-01,1968.8328947368416,1855.3883000977933,1973.8104190407207,1713,1931.991998367332,1891.2066494756853
1952-04-01,2076.885526315789,1960.4943217812315,2075.1371114852964,1954,1986.95592812284,1919.1028244791278
